,0
0,41.8828125
1,103.0859375
2,45.2109375
3,86.6484375
4,58.546875
5,43.5390625
6,92.578125
7,123.4921875
8,99.25
9,54.1015625
10,57.7265625
11,50.0546875
12,72.875
13,44.234375
14,34.71875
15,50.484375
16,83.984375
17,72.6328125
18,106.8984375
19,57.65625
20,67.5703125
21,74.9375
22,142.9140625
23,83.6953125
24,51.8828125
25,70.9140625
26,84.671875
27,112.9296875
28,76.4921875
29,61.515625
30,66.0859375
31,79.8828125
32,35.921875
33,71.1328125
34,102.5859375
35,98.8046875
36,143.9140625
37,90.0390625
38,55.1953125
39,85.125
40,45.3671875
41,79.1015625
42,79.1484375
43,47.5625
44,55.8125
45,74.84375
46,59.265625
47,83.3203125
48,114.4453125
49,78.78125
50,76.9375
51,91.5546875
52,79.6015625
53,63.3125
54,46.9296875
55,75.375
56,55.9140625
57,73.71875
58,63.6328125
59,66.8046875
60,44.2109375
61,66.0390625
62,88.453125
63,79.4140625
64,42.8046875
65,77.7421875
66,80.515625
67,129.28125
68,62.5859375
69,103.359375
70,81.953125
71,65.9921875
72,90.984375
73,43.7578125
74,65.671875
75,79.4921875
76,109.234375
77,66.8359375
78,58.8125
79,45.0703125
80,84.4921875
81,72.4921875
82,46.375
83,88.78125
84,84.390625
85,48.390625
86,83.0234375
87,118.1328125
88,94.4765625
89,54.40625
90,48.3203125
91,91.8984375
92,37.9609375
93,47.65625
94,37.1875
95,135.7265625
96,57.171875
97,47.9765625
98,43.4609375
99,52.328125
100,102.125
101,69.9609375
102,48.921875
103,116.5390625
104,84.046875
105,100.578125
106,30.1640625
107,40.9921875
108,44.4375
109,60.375
110,92.578125
111,45.671875
112,82.140625
113,63.9453125
114,73.5859375
115,82.9609375
116,35.9453125
117,37.765625
118,45.640625
119,86.6328125
120,121.15625
121,85.046875
122,80.984375
123,37.921875
124,75.3828125
125,54.6328125
126,65.3203125
127,89.078125
128,84.3359375
129,117.9921875
130,35.0390625
131,85.984375
132,116.4453125
133,42.5703125
134,49.2421875
135,108.9609375
136,144.671875
137,83.2421875
138,82.3125
139,81.5859375
140,88.0546875
141,42.6171875
142,109.6953125
143,33.15625
144,75.171875
145,58.3359375
146,50.1171875
147,37.0390625
148,62.4375
149,62.265625
150,94.5703125
151,67.9375
152,67.9296875
153,74.546875
154,105.7421875
155,34.1875
156,74.4921875
157,64.3984375
158,77.46875
159,92.75
160,37.28125
161,68.84375
162,57.6015625
163,94.2421875
164,103.171875
165,57.515625
166,95.15625
167,101.0234375
168,90.1796875
169,34.640625
170,78.0234375
171,73.7578125
172,78.84375
173,79.4296875
174,39.2109375
175,32.8671875
176,105.640625
177,72.7265625
178,46.8359375
179,131.6796875
180,31.46875
181,39.140625
182,102.2578125
183,70.328125
184,29.1953125
185,39.8671875
186,58.9296875
187,65.171875
188,49.765625
189,56.8828125
190,80.5078125
191,80.34375
192,75.3203125
193,81.3828125
194,84.1796875
195,66.2265625
196,45.7578125
197,74.3359375
198,45.7109375
199,90.484375
200,56.59375
201,79.03125
202,31.7578125
203,78.3515625
204,126.3828125
205,82.046875
206,110.765625
207,95.5859375
208,66.4296875
209,66.8515625
210,76.625
211,68.9140625
212,117.265625
213,41.46875
214,43.9296875
215,76.2265625
216,42.4453125
217,56.0859375
218,78.5546875
219,78.8359375
220,38.9453125
221,73.6328125
222,99.7578125
